ADM3_FR;ADM3_PCODE;ADM3_REF;ADM3ALT1_FR;ADM3ALT2_FR;ADM2_FR;ADM2_PCODE;ADM1_FR;ADM1_PCODE;ADM0_FR;ADM0_PCODE;DATE;VALIDON;VALIDTO;AREA_SQKM
Abobo;TG030801;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;112,2355194
Adeta;TG040701;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;202,8480072
Adetikope;TG030901;;;;Agoe-Nyive;TG0309;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;44,32736969
Adiva;TG040101;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;10,53327751
Adjahun Fiagbe;TG040301;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;63,20770264
Adjengere;TG010301;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;292,110321
Adogbenou;TG041101;;;;Anie;TG0411;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;639,9088745
Adzakpa;TG040302;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;165,8788452
Afagnan / Afagnagan;TG030201;;;;Bas-Mono;TG0302;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;112,2571335
Affem;TG010401;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;163,5468292
Aflao Gakli;TG030301;;;;Golfe;TG0303;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;11,00436115
Agbandi;TG010101;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;241,4654999
Agbandi-Yaka;TG020501;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;97,05854034
Agbelouve;TG030802;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;452,9506226
Agbodrafo;TG030401;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;81,4823761
Agoenyive;TG030902;;;;Agoe-Nyive;TG0309;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;46,60473251
Agome;TG041201;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;32,4491272
Agome-Tomegbe;TG041202;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;26,776474
Agome Glozou/Agbetiko;TG030202;;;;Bas-Mono;TG0302;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;72,98693848
